Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent
KH,2,2,KH-2,កឹម,,,
KH,3,3,KH-3,កែប,,,
KH,4,4,KH-4,កែវ,Keo,,
KH,5,5,KH-5,ខាត់,Khat,,
KH,6,6,KH-6,ខាយ,Khay,,
KH,7,7,KH-7,ខៀវ,Khiev,,
KH,8,8,KH-8,ខ្លូត,Khlot,,
KH,9,9,KH-9,គឹម,Kim,,
KH,10,10,KH-10,គួច,,,
KH,11,11,KH-11,កាំង,,,
KH,12,12,KH-12,ឃាង,,,
KH,13,13,KH-13,ឃិន,,,
KH,14,14,KH-14,ឃីម,,,
KH,15,15,KH-15,ចន្ទ,Chhan,,
KH,16,16,KH-16,ចាន់,,,
KH,17,17,KH-17,ចាប,Bird,,
KH,18,18,KH-18,ចេង,,,
KH,19,19,KH-19,ចេន,Chen,,
KH,20,20,KH-20,ឆន,Chhorn,,
KH,21,21,KH-21,ឆាយ,,,
KH,22,22,KH-22,ជា,Chea,,
KH,23,23,KH-23,ជាម,Cheam,,
KH,24,24,KH-24,ជិន,Chin,,
KH,25,25,KH-25,ជឹម,Chim,,
KH,26,26,KH-26,ជ័យ,Chey,,
KH,27,27,KH-27,ឈិត,Chhet,,
KH,28,28,KH-28,ឈិន,,,
KH,29,29,KH-29,ឈឹម,Chhim,,
KH,30,30,KH-30,ញឹក,Nhek,,
KH,31,31,KH-31,ដួង,Duong,,
KH,32,32,KH-32,ឌិត,Dith,,
KH,33,33,KH-33,ឌិន,Din,,
KH,34,34,KH-34,ឌី,,,
KH,35,35,KH-35,ឌុល,Dul,,
KH,36,36,KH-36,ឌួង,Duong,,
KH,37,37,KH-37,តក់,Droplets,,
KH,38,38,KH-38,តាង,Tang,,
KH,39,39,KH-39,តាត,Tat,,
KH,40,40,KH-40,តូច,,,
KH,41,41,KH-41,តាំង,Taing,,
KH,42,42,KH-42,ថន,,,
KH,43,43,KH-43,ទាវ,,,
KH,44,44,KH-44,ទី,Ty,,
KH,45,45,KH-45,ទុំ,,,
KH,46,46,KH-46,ទ្រី,,,
KH,47,47,KH-47,ទេព,Tep,,
KH,48,48,KH-48,ធី,Thy,,
KH,49,49,KH-49,នី,,,
KH,50,50,KH-50,ប្រាក់,Khmer,,
KH,51,51,KH-51,ប៉ាង,Pang,,
KH,52,52,KH-52,ប៉ុក,Pok,,
KH,53,53,KH-53,ប៊ុន,Bun,,
KH,54,54,KH-54,ប៉ែន,Pen,,
KH,55,55,KH-55,ផាន,Phan,,
KH,56,56,KH-56,ពិជ,,,
KH,57,57,KH-57,ពេជ្រ,means,,
KH,58,58,KH-58,ភី,Phy,,
KH,59,59,KH-59,មា,Ma,,
KH,60,60,KH-60,មាន,Mean,,
KH,61,61,KH-61,មាស,Meas,,
KH,62,62,KH-62,មួយ,Muy,,
KH,63,63,KH-63,មូល,Mul,,
KH,64,64,KH-64,មេង,Meng,,
KH,65,65,KH-65,ម៉ៅ,Mao,,
KH,66,66,KH-66,យស់,Yos,,
KH,67,67,KH-67,យុន,Yun,,
KH,68,68,KH-68,យូ,Yu,,
KH,69,69,KH-69,រស់,Ros,,
KH,70,70,KH-70,រួយ,,,
KH,71,71,KH-71,លិម,Lim,,
KH,72,72,KH-72,លី,,,
KH,73,73,KH-73,លីវ,,,
KH,74,74,KH-74,លឹម,,,
KH,75,75,KH-75,វ៉ាង,Vang,,
KH,76,76,KH-76,វង្ស,Vong,,
KH,77,77,KH-77,ស,Sor,,
KH,78,78,KH-78,សង,Sang,,
KH,79,79,KH-79,សម,Sam,,
KH,80,80,KH-80,សរ,Sor,,
KH,81,81,KH-81,សាង,Sang,,
KH,82,82,KH-82,សាត,Sat,,
KH,83,83,KH-83,សាន,San,,
KH,84,84,KH-84,សាយ,Say,,
KH,85,85,KH-85,សិន,Sin,,
KH,86,86,KH-86,សឺន,Son,,
KH,87,87,KH-87,សុខ,Sok,,
KH,88,88,KH-88,សុង,Song,,
KH,89,89,KH-89,សុន,Son,,
KH,90,90,KH-90,ស៊ុយ,Suy,,
KH,91,91,KH-91,សូ,So,,
KH,92,92,KH-92,ស៊ូ,Su,,
KH,93,93,KH-93,សួន,Soun,,
KH,94,94,KH-94,សឿង,,,
KH,95,95,KH-95,សៀង,Sieng,,
KH,96,96,KH-96,សេង,Seng,,
KH,97,97,KH-97,សេន,Sen,,
KH,98,98,KH-98,សោម,Som,,
KH,99,99,KH-99,សៅ,,,
KH,100,100,KH-100,ហាក៉,,,
KH,101,101,KH-101,ហុង,Hong,,
KH,102,102,KH-102,ហ៊ុន,Hun,,
KH,103,103,KH-103,ហូ,Ho,,
KH,104,104,KH-104,ឡាយ,,,
KH,105,105,KH-105,ឡុង,Long,,
KH,106,106,KH-106,អាង,Ang,,
KH,107,107,KH-107,អិម,Im,,
KH,108,108,KH-108,អុង,Ong,,
KH,109,109,KH-109,អ៊ុច,Uch,,
KH,110,110,KH-110,អ៊ុយ,Uy,,
KH,111,111,KH-111,អៀម,Eam,,
KH,112,112,KH-112,អៀវ,Iv,,
KH,113,113,KH-113,អ៊ុំ,Um,,
KH,114,114,KH-114,ឯក,Ek,,
KH,115,115,KH-115,ឱក,Ok,,
KH,116,116,KH-116,ឱម,Om,,
CN,1,1,CN-1,王,Wáng,101500000,
CN,1,1,CN-1,,Wong,101500000,
CN,2,2,CN-2,李,Lǐ,100900000,
CN,2,2,CN-2,,Lee,100900000,
CN,3,3,CN-3,张,Zhāng,95400000,
CN,3,3,CN-3,張,Cheung,95400000,
CN,4,4,CN-4,刘,Liú,72100000,
CN,4,4,CN-4,劉,Lau,72100000,
CN,5,5,CN-5,陈,Chén,63000000,
CN,5,5,CN-5,陳,Chan,63000000,
CN,6,6,CN-6,杨,Yáng,46200000,
CN,6,6,CN-6,楊,Yeung,46200000,
CN,7,7,CN-7,黄,Huáng,33700000,
CN,7,7,CN-7,黃,Wong,33700000,
CN,8,8,CN-8,赵,Zhào,28600000,
CN,8,8,CN-8,趙,Chiu,28600000,
CN,9,9,CN-9,吴,Wú,27800000,
CN,9,9,CN-9,吳,Ng,27800000,
CN,10,10,CN-10,周,Zhōu,26800000,
CN,10,10,CN-10,,Chow,26800000,
CN,11,11,CN-11,徐,Xú,20200000,
CN,11,11,CN-11,,Tsui,20200000,
CN,12,12,CN-12,孙,Sūn,19400000,
CN,12,12,CN-12,孫,Suen,19400000,
CN,13,13,CN-13,马,Mǎ,19100000,
CN,13,13,CN-13,馬,Ma,19100000,
CN,14,14,CN-14,朱,Zhū,18100000,
CN,14,14,CN-14,,Chu,18100000,
CN,15,15,CN-15,胡,Hú,16500000,
CN,15,15,CN-15,,Wu,16500000,
CN,16,16,CN-16,郭,Guō,15800000,
CN,16,16,CN-16,,Kwok,15800000,
CN,17,17,CN-17,何,Hé,14800000,
CN,17,17,CN-17,,Ho,14800000,
CN,18,18,CN-18,林,Lín,14200000,
CN,18,18,CN-18,,Lam,14200000,
CN,19,19,CN-19,高,Gāo,14100000,
CN,19,19,CN-19,,Ko,14100000,
CN,20,20,CN-20,罗,Luó,14000000,
CN,20,20,CN-20,羅,Law,14000000,
GE,1,1,GE-1,ბერიძე,Beridze,24962,
GE,2,2,GE-2,მამედოვი,Mamedov,23675,
GE,2,2,GE-2,,Mamedovi,23675,
GE,3,3,GE-3,კაპანაძე,Kapanadze,17202,
GE,4,4,GE-4,გელაშვილი,Gelashvili,16350,
GE,5,5,GE-5,ალიევი,Aliyev,15742,
GE,5,5,GE-5,,Alievi,15742,
GE,6,6,GE-6,მაისურაძე,Maisuradze,14824,
GE,7,7,GE-7,გიორგაძე,Giorgadze,12954,
GE,8,8,GE-8,ლომიძე,Lomidze,11796,
GE,9,9,GE-9,წიკლაური,Tsiklauri,11571,
GE,10,10,GE-10,ბოლქვაძე,Bolkvadze,10916,
GE,11,11,GE-11,კვარაცხელია,Kvaratskhelia,10447,
GE,12,12,GE-12,ნოზაძე,Nozadze,10183,
GE,13,13,GE-13,ხუციშვილი,Khutsishvili,10075,
GE,14,14,GE-14,შენგელია,Shengelia,9928,
GE,15,15,GE-15,აბულაძე,Abuladze,9663,
GE,16,16,GE-16,მიქელაძე,Mikeladze,9220,
GE,17,17,GE-17,ტაბატაძე,Tabatadze,8654,
GE,18,18,GE-18,მჭედლიშვილი,Mchedlishvili,8446,
GE,19,19,GE-19,ბაირამოვი,Bairamov,8373,
GE,19,19,GE-19,,Bairamovi,8373,
GE,20,20,GE-20,გოგოლაძე,Gogoladze,8362,
IN,1,1,IN-1,देवी,Devi,,
IN,2,2,IN-2,कुमार,Kumar,,
IN,3,3,IN-3,सिंह,Singh,,
IN,4,4,IN-4,शर्मा,Sharma,,
IN,5,5,IN-5,अली,Ali,,
IN,6,6,IN-6,यादव,Yadav,,
IN,7,7,IN-7,पटेल,Patel,,
IL,1,1,IL-1,כהן,Cohen,180725,0.0193
IL,2,2,IL-2,לוי,Levi,104876,0.0112
IL,2,2,IL-2,לוי,Levy,104876,0.0112
IL,3,3,IL-3,מזרחי,Mizrachi,30901,0.0033
IL,3,3,IL-3,מזרחי,Mizrahi,30901,0.0033
IL,4,4,IL-4,פרץ,Peretz,29964,0.0032
IL,5,5,IL-5,ביטון,Biton,28092,0.0030
IL,6,6,IL-6,דהן,Dahan,21537,0.0023
IL,7,7,IL-7,אברהם,Avraham,20600,0.0022
IL,8,8,IL-8,פרידמן,Friedman,19664,0.0021
IL,9,9,IL-9,מלכה,Malka,17791,0.0019
IL,9,9,IL-9,מלכה,Malcah,17791,0.0019
IL,10,10,IL-10,אזולאי,Azoulay,17791,0.0019
IL,11,11,IL-11,כץ,Katz,17791,0.0019
IL,12,12,IL-12,יוסף,Yosef,16855,0.0018
IL,13,13,IL-13,דוד,David,15918,0.0017
IL,14,14,IL-14,עמר,Amar,15918,0.0017
IL,14,14,IL-14,עמר,Omer,15918,0.0017
IL,15,15,IL-15,אוחיון,Ohayon,14982,0.0016
IL,15,15,IL-15,אוחיון,Ochion,14982,0.0016
IL,16,16,IL-16,חדד,Hadad,14982,0.0016
IL,16,16,IL-16,חדד,Chadad,14982,0.0016
IL,17,17,IL-17,גבאי,Gabai,14982,0.0016
IL,18,18,IL-18,בן דוד,Ben-David,13109,0.0014
IL,19,19,IL-19,אדרי,Adrei,13109,0.0014
IL,19,19,IL-19,אדרי,Edry,13109,0.0014
IL,19,19,IL-19,אדרי,Edri,13109,0.0014
IL,19,19,IL-19,אדרי,Adary,13109,0.0014
IL,20,20,IL-20,לוין,Levin,13109,0.0014
IL,21,21,IL-21,טל,Tal,12173,0.0013
IL,22,22,IL-22,קליין,Klein,12173,0.0013
IL,23,23,IL-23,חן,Chen,12173,0.0013
IL,23,23,IL-23,חן,Khen,12173,0.0013
IL,24,24,IL-24,שפירא,Shapira,12173,0.0013
IL,25,25,IL-25,חזן,Chazan,12173,0.0013
IL,25,25,IL-25,חזן,Hazan,12173,0.0013
IL,26,26,IL-26,משה,Moshe,12173,0.0013
IL,27,27,IL-27,אשכנזי,Ashkenazi,11236,0.0012
IL,28,28,IL-28,אוחנה,Ohana,11236,0.0012
IL,29,29,IL-29,סגל,Segal,11236,0.0012
IL,29,29,IL-29,סגל,Segel,11236,0.0012
IL,30,30,IL-30,גולן,Golan,11236,0.0012
JP,1,1,JP-1,佐藤,Satō,1990000,0.0157
JP,2,2,JP-2,鈴木,Suzuki,1900000,0.0150
JP,3,3,JP-3,高橋,Takahashi,1470000,0.0116
JP,4,4,JP-4,田中,Tanaka,1340000,0.0106
JP,5,5,JP-5,渡辺,Watanabe,1200000,0.0095
JP,6,6,JP-6,伊藤,Itō,1150000,0.0091
JP,7,7,JP-7,中村,Nakamura,1080000,0.0085
JP,8,8,JP-8,小林,Kobayashi,1060000,0.0084
JP,9,9,JP-9,山本,Yamamoto,1020000,0.0081
JP,10,10,JP-10,加藤,Katō,920000,0.0073
JP,11,11,JP-11,吉田,Yoshida,850000,
JP,12,12,JP-12,山田,Yamada,820000,
JP,13,13,JP-13,佐々木,Sasaki,710000,
JP,14,14,JP-14,山口,Yamaguchi,640000,
JP,15,15,JP-15,松本,Matsumoto,630000,
JP,16,16,JP-16,井上,Inoue,600000,
JP,17,17,JP-17,木村,Kimura,580000,
JP,18,18,JP-18,清水,Shimizu,560000,
JP,19,19,JP-19,林,Hayashi,550000,
JP,20,20,JP-20,斉藤,Saitō,530000,
JP,21,21,JP-21,斎藤,Saitō,520000,
JP,22,22,JP-22,山崎,Yamazaki,490000,
JP,22,22,JP-22,山崎,Yamasaki,490000,
JP,23,23,JP-23,中島,Nakajima,480000,
JP,23,23,JP-23,中島,Nakashima,480000,
JP,24,24,JP-24,森,Mori,470000,
JP,25,25,JP-25,阿部,Abe,470000,
JP,26,26,JP-26,池田,Ikeda,450000,
JP,27,27,JP-27,橋本,Hashimoto,450000,
JP,28,28,JP-28,石川,Ishikawa,440000,
JP,29,29,JP-29,山下,Yamashita,410000,
JP,30,30,JP-30,小川,Ogawa,410000,
JP,31,31,JP-31,石井,Ishii,400000,
JP,32,32,JP-32,長谷川,Hasegawa,390000,
JP,33,33,JP-33,後藤,Gotō,390000,
JP,34,34,JP-34,岡田,Okada,380000,
JP,35,35,JP-35,近藤,Kondō,370000,
JP,36,36,JP-36,前田,Maeda,370000,
JP,37,37,JP-37,藤田,Fujita,370000,
JP,38,38,JP-38,遠藤,Endō,360000,
JP,39,39,JP-39,青木,Aoki,350000,
JP,40,40,JP-40,坂本,Sakamoto,350000,
JP,41,41,JP-41,村上,Murakami,340000,
JP,42,42,JP-42,太田,Ōta,320000,
JP,43,43,JP-43,金子,Kaneko,310000,
JP,44,44,JP-44,藤井,Fujii,310000,
JP,45,45,JP-45,福田,Fukuda,300000,
JP,46,46,JP-46,西村,Nishimura,300000,
JP,47,47,JP-47,三浦,Miura,300000,
JP,48,48,JP-48,竹内,Takeuchi,290000,
JP,49,49,JP-49,中川,Nakagawa,290000,
JP,50,50,JP-50,岡本,Okamoto,290000,
JP,51,51,JP-51,松田,Matsuda,290000,
JP,52,52,JP-52,原田,Harada,290000,
JP,53,53,JP-53,中野,Nakano,290000,
JP,54,54,JP-54,小野,Ono,280000,
JP,55,55,JP-55,田村,Tamura,280000,
JP,56,56,JP-56,藤原,Fujiwara,270000,
JP,56,56,JP-56,藤原,Fujihara,270000,
JP,57,57,JP-57,中山,Nakayama,270000,
JP,58,58,JP-58,石田,Ishida,270000,
JP,59,59,JP-59,小島,Kojima,260000,
JP,60,60,JP-60,和田,Wada,260000,
JP,61,61,JP-61,森田,Morita,250000,
JP,62,62,JP-62,内田,Uchida,250000,
JP,63,63,JP-63,柴田,Shibata,250000,
JP,64,64,JP-64,酒井,Sakai,240000,
JP,65,65,JP-65,原,Hara,240000,
JP,66,66,JP-66,高木,Takagi,240000,
JP,66,66,JP-66,高木,Takaki,240000,
JP,67,67,JP-67,横山,Yokoyama,240000,
JP,68,68,JP-68,安藤,Andō,240000,
JP,69,69,JP-69,宮崎,Miyazaki,240000,
JP,69,69,JP-69,宮崎,Miyasaki,240000,
JP,70,70,JP-70,上田,Ueda,240000,
JP,70,70,JP-70,上田,Ueta,240000,
JP,71,71,JP-71,島田,Shimada,230000,
JP,72,72,JP-72,工藤,Kudō,230000,
JP,73,73,JP-73,大野,Ōno,220000,
JP,74,74,JP-74,宮本,Miyamoto,220000,
JP,75,75,JP-75,杉山,Sugiyama,220000,
JP,76,76,JP-76,今井,Imai,220000,
JP,77,77,JP-77,丸山,Maruyama,210000,
JP,78,78,JP-78,増田,Masuda,210000,
JP,79,79,JP-79,高田,Takada,210000,
JP,79,79,JP-79,高田,Takata,210000,
JP,80,80,JP-80,村田,Murata,210000,
JP,81,81,JP-81,平野,Hirano,210000,
JP,82,82,JP-82,大塚,Ōtsuka,210000,
JP,83,83,JP-83,菅原,Sugawara,210000,
JP,83,83,JP-83,菅原,Sugahara,210000,
JP,84,84,JP-84,武田,Takeda,200000,
JP,84,84,JP-84,武田,Taketa,200000,
JP,85,85,JP-85,新井,Arai,200000,
JP,86,86,JP-86,小山,Koyama,200000,
JP,86,86,JP-86,小山,Oyama,200000,
JP,87,87,JP-87,野口,Noguchi,200000,
JP,88,88,JP-88,桜井,Sakurai,200000,
JP,89,89,JP-89,千葉,Chiba,200000,
JP,90,90,JP-90,岩崎,Iwasaki,200000,
JP,91,91,JP-91,佐野,Sano,200000,
JP,92,92,JP-92,谷口,Taniguchi,200000,
JP,93,93,JP-93,上野,Ueno,200000,
JP,94,94,JP-94,松井,Matsui,190000,
JP,95,95,JP-95,河野,Kōno,190000,
JP,95,95,JP-95,河野,Kawano,190000,
JP,96,96,JP-96,市川,Ichikawa,190000,
JP,97,97,JP-97,渡部,Watanabe,190000,
JP,97,97,JP-97,渡部,Watabe,190000,
JP,98,98,JP-98,野村,Nomura,180000,
JP,99,99,JP-99,菊地,Kikuchi,180000,
JP,100,100,JP-100,木下,Kinoshita,180000,
KZ,1,1,KZ-1,Ахметов,Ahmetov,73627,
KZ,2,2,KZ-2,Омаров,Omarov,45123,
KZ,3,3,KZ-3,Ким,Kim,42274,
KZ,4,4,KZ-4,Оспанов,Ospanov,41068,
KZ,5,5,KZ-5,Иванов,Ivanov,39296,
KZ,6,6,KZ-6,Алиев,Aliev,36084,
KZ,7,7,KZ-7,Сулейменов,Suleimenov,33940,
KZ,8,8,KZ-8,Искаков,Iskakov,31988,
KZ,9,9,KZ-9,Абдрахманов,Abdrahmanov,29091,
KZ,10,10,KZ-10,Ибрагимов,Ibragimov,28755,
KZ,11,11,KZ-11,Калиев,Kaliev,28219,
KZ,12,12,KZ-12,Садыков,Sadykov,27810,
KZ,13,13,KZ-13,Ибраев,Ibraev,26531,
KZ,14,14,KZ-14,Кузнецов,Kuznetsov,25990,
KZ,15,15,KZ-15,Попов,Popov,24956,
KZ,16,16,KZ-16,Смагулов,Smagulov,24005,
KZ,17,17,KZ-17,Абдуллаев,Abdullaev,23729,
KZ,18,18,KZ-18,Исаев,Isaev,22910,
KZ,19,19,KZ-19,Султанов,Sultanov,22808,
KZ,22,22,KZ-22,Юсупов,Iusupov,22763,
KZ,21,21,KZ-21,Исмаилов,Ismailov,21392,
KZ,22,22,KZ-22,Нургалиев,Nurgaliev,21133,
KZ,23,23,KZ-23,Каримов,Karimov,20575,
KZ,24,24,KZ-24,Серік,Серик,19550,
KZ,25,25,KZ-25,Ли,Li,17049,
KZ,26,26,KZ-26,Цой,Tsoi,12088,
KZ,27,27,KZ-27,Амангельды,Amangeldy,15125,
KZ,28,28,KZ-28,Болат,Bolat,11234,
KZ,29,29,KZ-29,Бондаренко,Bondarenko,10648,
KZ,30,30,KZ-30,Марат,Marat,10417,
KZ,31,31,KZ-31,Серікбай,Серикбай,10193,
KZ,32,32,KZ-32,Мурат,Murat,10106,
KZ,33,33,KZ-33,Кусаинов,Kusainov,10103,
KR,1,1,KR-1,김,Kim,,
KR,1,1,KR-1,金,Gim,,
KR,1,1,KR-1,,Ghim,,
KR,2,2,KR-2,리,Lee,,
KR,2,2,KR-2,이,Yi,,
KR,2,2,KR-2,李,Rhee,,
KR,3,3,KR-3,박,Park,,
KR,3,3,KR-3,朴,Pak,,
KR,3,3,KR-3,,Bak,,
KR,4,4,KR-4,최,Choi,,
KR,4,4,KR-4,崔,Choe,,
KR,4,4,KR-4,,Choy,,
KR,4,4,KR-4,,Joy,,
KR,5,5,KR-5,정,Jeong,,
KR,5,5,KR-5,鄭,Chung,,
KR,5,5,KR-5,,Cheong,,
KR,5,5,KR-5,,Jung,,
KR,5,5,KR-5,,Young,,
KR,6,6,KR-6,강,Kang,,
KR,6,6,KR-6,姜,Gang,,
KR,6,6,KR-6,,Ghang,,
KR,7,7,KR-7,조,Cho,,
KR,7,7,KR-7,趙,Jo,,
KR,7,7,KR-7,,Joe,,
KR,8,8,KR-8,윤,Yoon,,
KR,8,8,KR-8,尹,Yun,,
KR,8,8,KR-8,,Youn,,
KR,9,9,KR-9,장,Jang,,
KR,9,9,KR-9,張,Chang,,
KR,10,10,KR-10,림,Lim,,
KR,10,10,KR-10,임,Rim,,
KR,10,10,KR-10,林,Im,,
KR,10,10,KR-10,,Rhim,,
KR,11,11,KR-11,한,Han,,
KR,11,11,KR-11,韓,,,
KR,12,12,KR-12,오,O,,
KR,12,12,KR-12,吳,Oh,,
KR,13,13,KR-13,서,Seo,,
KR,13,13,KR-13,徐,Suh,,
KR,13,13,KR-13,,Seoh,,
KR,14,14,KR-14,신,Shin,,
KR,14,14,KR-14,申,Sin,,
KR,15,15,KR-15,권,Kwon,,
KR,15,15,KR-15,權,Gwon,,
KR,15,15,KR-15,,Kuen,,
KR,16,16,KR-16,황,Hwang,,
KR,16,16,KR-16,黃,Huang,,
KR,17,17,KR-17,안,Ahn,,
KR,17,17,KR-17,安,An,,
KR,18,18,KR-18,송,Song,,
KR,18,18,KR-18,宋,,,
KR,19,19,KR-19,류,Yoo,,
KR,19,19,KR-19,유,Yu,,
KR,19,19,KR-19,柳,Ryu,,
KR,19,19,KR-19,,Ryoo,,
KR,20,20,KR-20,전,Jeon,,
KR,20,20,KR-20,全,Jun,,
KR,20,20,KR-20,,Chun,,
KR,20,20,KR-20,,Cheon,,
KR,21,21,KR-21,홍,Hong,,
KR,21,21,KR-21,洪,,,
KR,22,22,KR-22,고,Ko,,
KR,22,22,KR-22,高,Koh,,
KR,22,22,KR-22,,Go,,
KR,22,22,KR-22,,Goh,,
KR,23,23,KR-23,문,Mun,,
KR,23,23,KR-23,文,Moon,,
KR,23,23,KR-23,,Mon,,
KR,23,23,KR-23,,Munn,,
KR,24,24,KR-24,량,Yang,,
KR,24,24,KR-24,양,Ryang,,
KR,24,24,KR-24,梁,,,
KR,25,25,KR-25,손,Son,,
KR,25,25,KR-25,孫,Sohn,,
KR,25,25,KR-25,,Sonn,,
KR,26,26,KR-26,배,Bae,,
KR,26,26,KR-26,裵,Bai,,
KR,26,26,KR-26,,Pai,,
KR,26,26,KR-26,,Pae,,
KR,27,27,KR-27,조,Jo,,
KR,27,27,KR-27,曺,Cho,,
KR,28,28,KR-28,백,Baek,,
KR,28,28,KR-28,白,Paik,,
KR,28,28,KR-28,,Pak,,
KR,28,28,KR-28,,Bak,,
KR,28,28,KR-28,,Bhak,,
KR,28,28,KR-28,,Phak,,
KR,29,29,KR-29,허,Hur,,
KR,29,29,KR-29,許,Heo,,
KR,29,29,KR-29,,Her,,
KR,29,29,KR-29,,Hui,,
KR,30,30,KR-30,류,Yu,,
KR,30,30,KR-30,유,Yoo,,
KR,30,30,KR-30,劉,Liu,,
KR,30,30,KR-30,,Lau,,
KR,30,30,KR-30,,Yau,,
KR,31,31,KR-31,남,Nam,,
KR,31,31,KR-31,,Nan,,
KR,31,31,KR-31,,Nham,,
KR,32,32,KR-32,심,Sim,,
KR,32,32,KR-32,南,Shim,,
KR,32,32,KR-32,沈,Shen,,
KR,33,33,KR-33,로,No,,
KR,33,33,KR-33,노,Noh,,
KR,33,33,KR-33,盧,Roh,,
KR,34,34,KR-34,정,Jeong,,
KR,34,34,KR-34,丁,Jung,,
KR,35,35,KR-35,하,Ha,,
KR,35,35,KR-35,河,Hah,,
KR,36,36,KR-36,곽,Gwak,,
KR,36,36,KR-36,郭,Kwak,,
KR,36,36,KR-36,,Koak,,
KR,37,37,KR-37,성,Seong,,
KR,37,37,KR-37,成,Sung,,
KR,37,37,KR-37,,Shong,,
KR,37,37,KR-37,,Shung,,
KR,38,38,KR-38,차,Cha,,
KR,38,38,KR-38,車,,,
KR,39,39,KR-39,주,Ju,,
KR,39,39,KR-39,朱,Joo,,
KR,39,39,KR-39,,Chu,,
KR,39,39,KR-39,,Zhu,,
KR,39,39,KR-39,,Zuu,,
KR,39,39,KR-39,,Juu,,
KR,39,39,KR-39,,Choo,,
KR,40,40,KR-40,우,Woo,,
KR,40,40,KR-40,禹,U,,
KR,41,41,KR-41,구,Gu,,
KR,41,41,KR-41,具,Koo,,
KR,41,41,KR-41,,Goo,,
KR,42,42,KR-42,신,Sin,,
KR,42,42,KR-42,辛,Shin,,
KR,43,43,KR-43,임,Im,,
KR,43,43,KR-43,任,Yim,,
KR,44,44,KR-44,라,Na,,
KR,44,44,KR-44,나,Ra,,
KR,44,44,KR-44,羅,La,,
KR,45,45,KR-45,전,Jeon,,
KR,45,45,KR-45,田,Jun,,
KR,46,46,KR-46,민,Min,,
KR,46,46,KR-46,閔,,,
KR,47,47,KR-47,유,Yu,,
KR,47,47,KR-47,兪,Yoo,,
KR,48,48,KR-48,진,Jin,,
KR,48,48,KR-48,陳,Jean,,
KR,48,48,KR-48,,Chen,,
KR,48,48,KR-48,,Jen,,
KR,49,49,KR-49,지,Ji,,
KR,49,49,KR-49,池,Jee,,
KR,50,50,KR-50,엄,Eom,,
KR,50,50,KR-50,嚴,Uhm,,
KR,50,50,KR-50,,Um,,
NP,1,1,NP-1,चौधरी,Chaudhary,,
NP,1,1,NP-1,,Chowdhury,,
NP,2,2,NP-2,तामाङ,Tamang,,
NP,3,3,NP-3,गुरुङ,Gurung,,
NP,4,4,NP-4,थापा,Thapa,,
NP,5,5,NP-5,राणा,Rana,,
NP,6,6,NP-6,यादव,Yadav,,
NP,7,7,NP-7,मगर,Magar,,
NP,8,8,NP-8,राई,Rai,,
NP,9,9,NP-9,श्रेष्ठ,Shrestha,,
NP,10,10,NP-10,लामा,Lama,,
NP,11,11,NP-11,क्षेत्री,Chhetri,,
NP,11,11,NP-11,चेट्री,Chetry,,
NP,12,12,NP-12,शाह,Shah,,
NP,12,12,NP-12,साह,Sah ,,
NP,13,13,NP-13,शर्मा,Sharma,,
